Family,Sample0,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29
Family1,0.16433516267308945,0.18003046632782957,0.19548779628259286,0.5520516786236779,0.1620022185910687,0.13849409617864686,0.4273995223858982,0.24058713783561833,0.15681074214793855,0.2410865734254487,0.27240112914825204,0.2995152307880232,0.10322914308394315,0.28133026659980276,0.17135022989058127,0.697637042531453,0.12694781434557467,0.132864497093515,0.16750748581850583,0.1950087162518123,0.09673112747732311,0.8154627385077522,0.2385379894246381,0.05903568534164135,0.17506047804822078,0.07847746365983051,0.13303586963409178,0.2534270492026237,0.31391703113701824,0.2394188614838134
Family3,0.7017373481661383,0.039227579742047824,0.08320396843763363,0.07029818267541665,0.13532510022935051,0.046127756141815746,0.10495536464730737,0.0288084372916179,0.16944099543692281,0.49218128436121245,0.2105935927212733,0.2355293034490873,0.25794619335596203,0.12633997960809307,0.14862684195567308,0.39542231597135136,0.05316853158577406,0.04003390827875083,0.17574168594562511,0.2561180116208969,0.21198788850216163,0.14132699968124385,0.21474172279813966,0.14737726494995695,0.170364354697766,0.13011843875361973,0.11837348628930688,0.8731252035014263,0.23718867125544965,0.21380948635961003
Family4,0.09864436237993812,0.22619391086234364,0.09480441993254189,0.35836490286365663,0.28244059146451433,0.208446708705726,0.08564868711099005,0.2061673701936196,0.04791414011895526,0.20988345426095584,0.25060487019975625,0.31470467549584585,0.19990455267714252,0.05957747589163883,0.06018778527454135,0.13736985430551468,0.2694509627449571,0.11558832220949293,0.3399093138650986,0.1664505146769699,0.0977850613023999,0.3049220410747362,0.3045122628422758,0.006086310998918876,0.02146092121298726,0.11356543620904458,0.1759845588986729,0.3180692926082018,0.08541683643226312,0.2512948067730214
Family5,0.1462473956351764,0.29063106074167827,0.10574117561170078,0.5252612235931235,0.26552180680457405,0.2547747854991356,0.8604320324803936,0.0951964319218916,0.034405683985125224,0.9571108166045164,0.08517742119513423,0.23295240194989977,0.27161224739092305,0.22484399274195033,0.2811751078914092,0.12370341684048913,0.30850116214701045,0.1161452280012741,0.856108381258762,0.13118868426558247,0.08143357405497942,0.387214395708638,0.11775842290238218,0.08535371994912862,0.9601549614208222,0.1669189902890006,0.000319473629324681,0.8305246621552576,0.26584253817996034,0.14456831386092275
Family6,0.08207689717002675,0.2402945868070524,0.04494964582958586,0.05049728804926956,0.2771922160473457,0.07051012104248255,0.4545250559459498,0.10905893754397149,0.2046919918356596,0.214119688912222,0.2536350529793443,0.21303594139410156,0.37788990027238045,0.08548099451165873,0.05508929551255478,0.48556329136852544,0.027802314055016136,0.14269601176593338,0.42367358428240837,0.3051054384535912,0.07404180426745155,0.43844466089434514,0.0815354311859579,0.28323030452359754,0.25582975498710314,0.06735442732916852,0.09824302700262932,0.24758844148126846,0.20013399450569355,0.011414481679240121
Family7,0.3870448911883111,0.08559248518553342,0.00849526935743298,0.45316646366207836,0.2331776781232322,0.21030567530206726,0.5047854696321217,0.004930578217038832,0.10176096911728234,0.3302942461325391,0.1271696103844138,0.19673623106990093,0.5747937907448615,0.060518272547107364,0.2044700941486224,0.3809703152278191,0.30405926344049117,0.08977439242831697,0.9989848303422258,0.12167104263294304,0.10248796973466763,0.9307722807758101,0.2724401410126647,0.21598610592240355,0.09765235090849866,0.05098739854917511,0.08173710703220194,0.537949477004726,0.3321903578609419,0.09768891711572718
Family9,0.2128440889859995,0.22587553296902266,0.29606136827248825,0.4125448412278465,0.19838119154925016,0.3297480672440882,0.1863715002441707,0.1576743188970203,0.13636862247667206,0.5632716076073526,0.1301932269154511,0.09912163595524859,0.7546591919733823,0.11613741500388948,0.10385953108480388,0.9699670258435372,0.10327722927198497,0.26399269621162574,0.14212936755095018,0.2686747636954357,0.2036620485673064,0.7763862412618114,0.11449410351044613,0.10621194971661481,0.7000177694995346,0.09287880029981004,0.034752798605221326,0.00036861366837770415,0.04449234894659434,0.19331797122152203
Family10,0.297730813902021,0.1609153885029625,0.11930293259988878,0.07354727887334134,0.035597670095005106,0.18121473095107996,0.383731809525546,0.10290520769172506,0.3306904437351797,0.01023124818929877,0.2188536946496361,0.173636828327745,0.47923412035737095,0.04092507220999549,0.0962643232137379,0.08173869261595734,0.09173446788990373,0.13892686316889322,0.31850915010436415,0.24820545156536747,0.2845809699843799,0.40121309555669765,0.23717427304491698,0.3325382958442498,0.3385937328437209,0.09756505051444564,0.037595919013269564,0.37340608137117176,0.04352723744897602,0.03206971579439655
Family11,0.7889422093961521,0.13835337935358857,0.002169033707142535,0.08873635807715308,0.08288954342494104,0.19433379596213438,0.2680874157030846,0.03173171778650552,0.06538874344843797,0.5356296790902432,0.29784657724311453,0.10938154153964108,0.7184670998797187,0.1394159874954329,0.18616051902719308,0.5272722511958736,0.12605853333169845,0.19584446671898678,0.3512228627451529,0.1931695347804472,0.07177687097972425,0.530830036324695,0.12437763463326108,0.11063164660282925,0.6584222212981752,0.23492245039129364,0.2593216725494091,0.4488614953008083,0.20261537884260913,0.1771255840403434
Family12,0.27118788258364507,0.02972270351230218,0.11328759410506146,0.24866854930216675,0.3232102777090789,0.11981362389522887,0.17266223733502406,0.2530620721830586,0.11450304143370682,0.4328619647050098,0.062160760346404755,0.17016141731214296,0.24759338540333248,0.3011312033961587,0.19647963805044547,0.35775268716933395,0.10123825117825462,0.036964007705102074,0.12000732688962218,0.2900164848286763,0.19565224987168628,0.1443401437021093,0.14265379703125378,0.21644326550304996,0.2801307096154543,0.2662715410113399,0.0013990679850526637,0.36178318094294515,0.09713940891186552,0.24597626171688217
Family13,0.8247878649631697,0.24185962333713418,0.20265654259643226,0.921476928703517,0.23663155689870816,0.01796918687385962,0.9153282769755575,0.17054157423427943,0.052795841936415254,0.11243793047232675,0.048280711143195355,0.26524250071648137,0.6101729498142476,0.2362136479784517,0.042211591143279326,0.4357644951401911,0.015500466534633365,0.029660459744209538,0.6493476189533299,0.3013065005358992,0.08225720079808652,0.053113693461167566,0.2443325142435507,0.03266450232502257,0.7571860083149525,0.01253342994489448,0.07889555286593408,0.3163900212057188,0.20319751647992848,0.20980816900833957
Family15,0.002952366101808046,0.3276987735324906,0.1688879601259946,0.730598805593777,0.1868936383558797,0.08748188911744526,0.7665667395605712,0.07074649760063767,0.26941064672520804,0.7788966260984496,0.08183111977300288,0.11140507544841423,0.5420464755500322,0.07741374610841807,0.07252521366177005,0.6164801440431434,0.22991967467110444,0.3132185965140721,0.24063189828232734,0.007598194454293439,0.08386985083599914,0.0827515304303007,0.2906414735831781,0.15092027239750372,0.4933892567338679,0.14963995941528874,0.054213493638355814,0.9792120876815708,0.2639097479984777,0.3314115426837203
Family16,0.4751087125608695,0.13072072800109366,0.03416917065776981,0.17978527355644536,0.044653526679252785,0.2117978064173849,0.3527545820581593,0.0005438732696246099,0.02926050355116261,0.09800991243736223,0.22526161663066202,0.28522747240647756,0.11893498732304647,0.3299903669977415,0.22821861458022122,0.19518873493045913,0.18937468791506193,0.3308315350493424,0.11201432165796699,0.0796795747692115,0.11673179711221122,0.20226430548011598,0.10195922663799743,0.06516165305481485,0.4912451646880585,0.22118792483300675,0.12137630831478334,0.44050795304537826,0.3037595135397775,0.1623251516242169
Family17,0.9546785132058185,0.14363855890324326,0.17519954179859995,0.8384819468456388,0.21131096331896382,0.12975669693618863,0.9643181877189406,0.08684155479485263,0.20283835099234152,0.9698497980391746,0.14387501649867618,0.09363842858027442,0.5512050919281036,0.1803551834400894,0.2713567848163145,0.5287327556014552,0.3113367340286565,0.3069527575143624,0.7872275531237346,0.13506765039494514,0.0879138958555034,0.09836198287426456,0.20856042908695668,0.30395691635797334,0.28178328435303346,0.31494243779862047,0.27923101628341823,0.7395900419322532,0.06867207591976769,0.28326867655184035
Family18,0.4161390418414299,0.27807381229186906,0.023709607712535646,0.0988192829869532,0.18819923613684278,0.16755050277582015,0.43723838940803206,0.051230714419211086,0.03541442589600685,0.3633493882730738,0.22257187400178668,0.004032656485253454,0.335268764603488,0.2240898932802677,0.33138970472239687,0.44779467162909736,0.07770912384386001,0.0220635538679409,0.31957782453019,0.02599493222655495,0.14252414138488567,0.15131619467710117,0.1746467461600462,0.23598112703282778,0.18315031962136885,0.32853841383051124,0.26075082867664806,0.49546653365160914,0.16809602121587686,0.06304422663615017
